month,wPop,ePop,mAHeight
1,13,18719,39.486
2,13,18455,44.06
3,13,18179,48.713
4,26,17826,35.934
5,26,24921,41.163
6,25,24521,46.734
7,25,24091,52.435
8,24,23703,58.179
9,24,23307,63.848
10,24,22939,69.428
11,23,22566,74.793
12,23,22213,80.022
13,39,21704,84.922
14,36,21235,89.554
15,36,20808,93.906
16,57,20233,50.801
17,56,25915,57.69
18,56,25289,64.71
19,56,24717,71.586
20,56,24068,78.536
21,55,23458,85.426
22,53,22865,92.2
23,53,22266,98.547
24,52,21659,104.515
25,52,21106,110.1
26,52,20543,115.133
27,42,19991,119.661
28,64,19375,53.076
29,63,25119,60.512
30,63,24450,68.287
31,62,23829,76.152
32,61,23197,84.194
33,61,22563,92.2
34,59,21923,99.915
35,58,21331,107.748
36,56,20700,114.864
37,54,20103,121.45
38,54,19547,127.534
39,42,19003,132.778
40,62,18429,57.0
41,61,24006,65.333
42,60,23364,74.097
43,60,22781,83.226
44,60,22163,92.551
45,59,21545,101.95
46,59,20998,111.219
47,59,20390,119.585
48,59,19767,127.365
49,59,19187,134.022
50,59,18588,139.545
51,47,18029,143.945
52,66,17414,59.652
53,66,22491,69.406
54,66,21855,79.675
55,64,21219,90.374
56,63,20598,101.481
57,63,19981,112.211
58,63,19345,122.583
59,59,18746,131.808
60,59,18207,139.411
61,57,17646,145.162
62,57,17090,149.227
63,43,16552,152.152
64,69,15942,61.499
65,69,20571,73.038
66,69,19908,85.751
67,66,19253,99.47
68,65,18627,113.124
69,64,18025,125.93
70,64,17400,136.82
71,63,16799,144.766
72,60,16260,150.221
73,60,15686,153.858
74,59,15148,156.052
75,52,14630,157.363
76,71,14020,63.134
77,68,17903,77.091
78,68,17295,92.604
79,68,16674,108.898
80,66,16057,125.294
81,66,15421,138.692
82,66,14841,147.926
83,66,14268,153.476
84,66,13725,156.385
85,66,13190,157.908
86,64,12614,159.076
87,51,12062,159.603
88,67,11525,64.786
89,66,14799,81.38
90,65,14205,99.848
91,64,13613,119.345
92,63,13064,136.837
93,62,12517,147.801
94,62,11991,154.13
95,60,11472,157.485
96,60,10963,159.108
97,59,10458,159.933
98,58,9960,160.423
99,48,9470,160.653
100,68,8934,65.913
101,68,11417,84.509
102,66,10835,105.746
103,65,10331,126.545
104,65,9806,142.517
105,65,9268,152.283
106,65,8755,157.024
107,64,8230,159.522
108,62,7725,160.447
109,59,7257,160.861
110,58,6814,161.042
111,45,6374,161.104
112,67,5854,65.133
113,66,7272,82.691
114,66,6788,102.347
115,66,6282,121.967
116,66,5815,138.004
117,65,5310,148.818
118,64,4832,154.52
119,63,4368,157.886
120,61,3889,159.598
