month,wPop,ePop,aPop,mAHeight
1,13,18719,84803,39.577
2,13,18410,75357,44.143
3,13,18143,66813,48.827
4,24,17764,96763,36.05
5,24,25005,86620,41.368
6,24,24605,78273,46.959
7,23,24222,71569,52.683
8,21,23801,65924,58.459
9,21,23435,61201,64.162
10,21,23047,57138,69.669
11,21,22667,53486,75.019
12,20,22298,50322,80.075
13,36,21840,47399,84.972
14,36,21402,44789,89.647
15,35,20936,42468,94.01
16,58,20353,83186,50.918
17,57,26040,75727,57.804
18,57,25455,68869,64.773
19,55,24818,62586,71.839
20,55,24208,57021,78.831
21,55,23613,52189,85.649
22,55,23001,47838,92.344
23,55,22384,44170,98.619
24,55,21772,40908,104.623
25,55,21168,38069,110.164
26,53,20583,35556,115.322
27,44,20009,33447,119.912
28,66,19391,79532,53.147
29,66,25190,71221,60.741
30,62,24528,63690,68.53
31,61,23922,56937,76.436
32,57,23309,50982,84.42
33,56,22694,45736,92.387
34,54,22119,41106,100.451
35,53,21530,37174,108.181
36,53,20956,33769,115.669
37,52,20395,30909,122.307
38,52,19851,28596,128.357
39,39,19299,26601,133.658
40,59,18716,64792,57.34
41,59,24333,57156,65.872
42,59,23692,50321,74.688
43,58,23060,44259,83.95
44,58,22450,38838,93.457
45,56,21885,34280,103.071
46,55,21299,30573,112.138
47,55,20746,27429,120.713
48,55,20168,24897,128.363
49,55,19586,22895,134.86
50,54,19019,21227,140.646
51,38,18462,19940,145.082
52,62,17846,50103,59.869
53,62,23122,43121,70.013
54,60,22469,37066,80.627
55,59,21847,31783,92.026
56,58,21252,27354,103.703
57,55,20695,23769,115.22
58,54,20134,20948,125.972
59,54,19577,18761,135.186
60,53,19041,17145,142.42
61,53,18501,16004,147.573
62,53,17975,15085,151.397
63,41,17447,14365,154.014
64,65,16816,36725,62.086
65,65,21736,30489,74.641
66,64,21041,25203,88.326
67,63,20395,20807,103.347
68,63,19803,17454,118.245
69,63,19201,14957,131.933
70,62,18581,13274,142.566
71,62,17980,12198,149.747
72,61,17405,11447,153.893
73,59,16815,10926,156.296
74,57,16253,10500,157.871
75,44,15731,10122,158.833
76,65,15161,25571,64.667
77,65,19637,20179,80.748
78,63,19002,15955,99.056
79,63,18417,12790,118.27
80,62,17811,10777,134.377
81,62,17249,9440,146.984
82,61,16674,8636,154.515
83,61,16104,8191,157.561
84,59,15527,7872,159.224
85,58,15016,7578,160.089
86,58,14502,7352,160.456
87,45,13976,7156,160.404
88,64,13401,17595,66.644
89,62,17217,13098,87.282
90,61,16637,9899,110.903
91,61,16070,7832,133.016
92,59,15514,6683,149.009
93,58,14980,6141,156.274
94,56,14461,5861,159.138
95,54,13939,5636,160.511
96,54,13417,5452,160.748
97,53,12935,5284,160.807
98,53,12436,5120,160.91
99,43,11941,4984,160.956
100,65,11376,11754,69.527
101,65,14599,8389,94.638
102,64,14038,6124,124.049
103,63,13478,4975,146.052
104,61,12936,4434,156.641
105,60,12436,4193,159.899
106,60,11897,4046,161.107
107,60,11399,3916,161.168
108,56,10903,3807,161.112
109,56,10442,3701,161.139
110,54,9942,3584,161.302
111,49,9472,3467,161.577
112,68,8960,7914,72.212
113,67,11303,5400,102.3
114,66,10761,3970,132.742
115,65,10232,3304,152.039
116,65,9659,3030,159.208
117,64,9131,2907,160.909
118,64,8651,2817,161.297
119,50,8163,2733,161.465
120,49,7782,2651,161.303
